cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
38980.6,26.23,199.06,150993.02,84.51,430.46,555.34,11,1,89.33,835.12,3.63,2792.56,2413.84,1137.73,4,,7757.54,2788.73,9448.2,127883.47,1225.14,307.98,115.78,13.29,30,3,16389.4,4,183819.54,20855.47,,2020-08-23,3-1
39044.4,24.87,197.46,152127.84,80.08,405.03,555.48,11,1,83.62,827.41,3.41,2793.63,2418.92,1131.9,4,,7710.4,2790.38,9879.68,129279.37,1217.77,311.04,116,12.52,30,3,16477.64,4,184736.92,20999.99,,2020-08-24,3-1
39106.64,23.58,195.85,153256.47,75.88,381.33,555.96,11,1,78.35,819.49,3.2,2794.24,2422.82,1125.34,4,,7659.56,2791.48,10335.18,130669.53,1209.6,313.76,116.06,11.8,30,3,16552.45,4,185656.03,21146.49,,2020-08-25,3-1
39167.35,22.36,194.23,154378.36,71.9,359.19,556.61,11,1,73.47,811.31,3.01,2793.97,2425.67,1118.17,4,,7605.27,2791.62,10812.5,132053.91,1200.78,316.15,115.99,11.13,30,3,16614.82,4,186576.83,21294.65,,2020-08-26,3-1
39226.59,21.19,192.58,155489.33,68.13,338.5,557.31,11,1,68.94,802.87,2.84,2792.58,2427.55,1103.79,4,,7547.75,2790.57,11228,133432.43,1191.4,318.26,115.8,10.5,30,3,16665.6,4,187499.33,21444.14,,2020-08-27,3-1
39284.39,20.09,190.89,156586.58,64.55,319.13,557.97,11,1,64.74,794.1,2.67,2789.94,2428.53,1090.54,4,,7487.12,2788.23,11519.75,134804.98,1181.55,320.1,115.51,9.91,30,3,16705.51,4,188423.5,21594.62,,2020-08-28,3-1
39340.79,19.04,189.17,157670.02,61.16,301,558.52,11,1,60.83,784.97,2.52,2786,2428.68,1075.99,4,,7423.46,2784.53,11815.72,136171.4,1171.28,321.69,115.11,9.36,30,3,16735.2,4,189349.33,21745.75,,2020-08-29,3-1
39395.81,18.05,187.4,158738.92,57.95,284,558.93,11,1,57.2,775.64,2.37,2780.72,2428.05,1062.17,4,,7356.86,2779.46,12114.81,137531.54,1160.64,324.83,114.63,8.84,30,3,16755.22,4,190276.79,21897.2,,2020-08-30,3-1
39449.48,17.11,185.59,159794.52,54.91,268.06,559.18,11,1,53.81,766.17,2.24,2774.09,2426.68,1049.28,4,,7287.54,2773.01,12415.99,138885.24,1149.65,327.59,114.07,8.35,30,3,16766.04,4,191205.87,22048.62,,2020-08-31,3-1
39501.84,16.21,183.75,160837.97,52.02,253.09,559.24,11,1,50.66,756.87,2.11,2766.12,2424.6,1037.74,4,,7215.84,2765.19,12718.22,140232.3,1138.35,329.89,113.44,7.89,30,3,16768.11,4,192136.55,22199.69,,2020-09-01,3-1
0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,4,,0,0,0,0,0,0,0,0,30,3,0,4,0,0,,2020-03-01,3-1
0,0,0,0.06,0.06,0,0,11,1,0,0.01,0,0.04,0,0.12,4,,0,0.24,0,0.04,0,0,0,0,30,3,0,4,0.1,0,,2020-03-02,3-1
0,0.01,0,0.25,0.14,0,0,11,1,0,0.16,0,2.27,0,0.28,4,,0,0.56,0,0.13,0,0,0,0,30,3,0.01,4,0.53,0,,2020-03-03,3-1
0,0.01,0,0.66,0.27,0,0,11,1,0,0.1,0,0.92,0,0.55,4,,0.02,1.02,0,0.33,0,0,0,0,30,3,0.05,4,1.41,0,,2020-03-04,3-1
0,0.03,0,1.4,0.48,0.03,0.01,11,1,0,0.09,0,0.36,0.01,0.93,4,,0.08,1.69,0,0.7,0,0,0,0,30,3,0.13,4,2.86,0,,2020-03-05,3-1
0,0.06,0.01,2.57,0.76,0.07,0.01,11,1,0,0.16,0,0.42,0.01,1.43,4,,0.17,2.47,0,1.31,0.01,0,0,0,30,3,0.27,4,4.84,0,,2020-03-06,3-1
0.01,0.09,0.01,4.3,1.12,0.13,0.02,11,1,0,0.23,0,0.34,0.02,2.04,4,,0.32,3.38,0,2.24,0.01,0.01,0,0,30,3,0.51,4,7.64,0,,2020-03-07,3-1
0.01,0.14,0.02,6.71,1.57,0.23,0.03,11,1,0.01,0.32,0,0.5,0.04,2.8,4,,0.54,4.49,0,3.58,0.02,0.01,0,0.01,30,3,0.86,4,11.46,0.01,,2020-03-08,3-1
0.03,0.21,0.03,9.97,2.12,0.37,0.05,11,1,0.02,0.45,0,0.72,0.07,3.75,4,,0.86,5.9,0,5.42,0.04,0.01,0.01,0.01,30,3,1.35,4,16.61,0.01,,2020-03-09,3-1
0.04,0.29,0.04,14.32,2.82,0.57,0.08,11,1,0.03,0.63,0,0.99,0.11,4.97,4,,1.29,7.74,0.01,7.88,0.06,0.02,0.01,0.02,30,3,2.02,4,23.4,0.02,,2020-03-10,3-1
0.07,0.31,0.06,20.05,3.69,0.84,0.11,11,1,0.04,0.84,0.01,1.34,0.17,6.55,4,,1.86,10.19,0.01,11.12,0.1,0.03,0.01,0.03,30,3,2.9,4,32.32,0.03,,2020-03-11,3-1
0.1,0.54,0.08,27.61,4.8,1.19,0.16,11,1,0.06,1.15,0.01,1.88,0.25,8.64,4,,2.61,13.52,0.02,15.35,0.14,0.04,0.02,0.04,30,3,4.07,4,44.11,0.04,,2020-03-12,3-1
0.16,0.73,0.11,37.6,6.23,1.66,0.22,11,1,0.09,1.57,0.01,2.81,0.35,11.44,4,,3.6,18.04,0.03,20.84,0.21,0.06,0.02,0.05,30,3,5.6,4,59.8,0.07,,2020-03-13,3-1
0.22,0.96,0.15,50.85,8.1,2.27,0.3,11,1,0.13,2.13,0.02,4.42,0.5,15.22,4,,4.89,24.39,0.05,27.98,0.29,0.08,0.03,0.07,30,3,7.63,4,80.81,0.1,,2020-03-14,3-1
0.32,1.27,0.21,68.53,10.55,3.07,0.4,11,1,0.18,2.9,0.02,7.33,0.68,20.33,4,,6.6,33.62,0.07,37.26,0.41,0.1,0.04,0.09,30,3,10.32,4,109.11,0.14,,2020-03-15,3-1
0.44,1.67,0.28,92.18,13.77,4.12,0.53,11,1,0.25,3.82,0.03,8.87,0.94,27.28,4,,8.9,46.51,0.09,49.36,0.56,0.14,0.06,0.13,30,3,13.93,4,147.36,0.19,,2020-03-16,3-1
0.61,2.21,0.38,123.98,18.05,5.5,0.72,11,1,0.34,4.85,0.04,7.77,1.27,36.73,4,,12.02,64.51,0.13,65.19,0.76,0.18,0.08,0.17,30,3,18.78,4,199.3,0.27,,2020-03-17,3-1
0.83,2.93,0.51,166.83,23.72,7.31,0.97,11,1,0.45,6.49,0.05,10.59,1.72,49.59,4,,16.15,89.68,0.17,85.94,1.03,0.24,0.11,0.22,30,3,25.32,4,275.69,0.36,,2020-03-18,3-1
1.13,3.88,0.68,224.44,30.82,9.72,1.3,11,1,0.61,8.79,0.06,14.82,2.34,65.71,4,,21.7,121.02,0.23,113.12,1.4,0.32,0.14,0.29,30,3,34.47,4,380.78,0.49,,2020-03-19,3-1
1.52,5.1,0.92,299.24,39.1,12.89,1.74,11,1,0.82,11.61,0.08,19.96,3.23,83.91,4,,29.13,156.74,0.3,148.01,1.89,0.42,0.19,0.39,30,3,47.47,4,519.35,0.67,,2020-03-20,3-1
2.04,6.58,1.22,392.88,48.4,16.99,2.35,11,1,1.1,14.97,0.1,25.86,4.45,103.56,4,,38.75,195.97,0.4,191.71,2.54,0.56,0.25,0.51,30,3,64.79,4,695.46,0.89,,2020-03-21,3-1
2.72,8.35,1.6,507.3,58.88,22.18,3.14,11,1,1.46,18.98,0.13,33.83,6.08,125.6,4,,50.85,241.21,0.52,245.34,3.4,0.74,0.32,0.67,30,3,86.67,4,913.61,1.19,,2020-03-22,3-1
3.62,10.43,2.07,644.93,70.8,28.62,4.12,11,1,1.92,23.54,0.17,43.06,8.2,149.58,4,,65.74,270.33,0.68,310.05,4.49,0.96,0.42,0.86,30,3,114.02,4,1173.68,1.58,,2020-03-23,3-1
4.77,12.86,2.62,807.45,84.45,36.48,5.33,11,1,2.5,28.62,0.21,51.84,10.91,175.97,4,,83.75,279,0.88,387.52,5.87,1.24,0.55,1.1,30,3,147.82,4,1448.35,2.09,,2020-03-24,3-1
6.25,15.7,3.29,997.46,100.2,45.97,6.74,11,1,3.23,34.47,0.27,62.02,14.28,203.63,4,,105.16,295.72,1.13,479.67,7.57,1.58,0.7,1.38,30,3,187.41,4,1731.65,2.74,,2020-03-25,3-1
8.1,18.88,4.06,1214.14,118.42,57.32,8.35,11,1,4.13,41.27,0.34,74.48,18.38,229.14,4,,130.35,304.45,1.45,588.77,9.65,1.99,0.89,1.72,30,3,232.8,4,2023.47,3.57,,2020-03-26,3-1
10.4,22.43,4.97,1455.69,139.54,70.81,10.23,11,1,5.22,48.99,0.42,86.02,23.26,254.06,4,,159.81,319.22,1.85,717.49,12.14,2.48,1.11,2.12,30,3,285.91,4,2323.73,4.6,,2020-03-27,3-1
13.23,26.56,6.01,1722.65,164.02,86.79,12.36,11,1,6.53,57.9,0.52,102.02,29.02,280.02,4,,193.97,328.57,2.34,868.96,15.09,3.06,1.38,2.6,30,3,346.36,4,2632.35,5.89,,2020-03-28,3-1
16.67,31.34,7.22,2014.54,192.43,105.67,14.83,11,1,8.1,67.98,0.64,120.59,35.75,302.47,4,,233.48,343.92,2.94,1046.84,18.58,3.74,1.69,3.16,30,3,416.55,4,2949.22,7.49,,2020-03-29,3-1
20.82,36.9,8.61,2327.09,225.37,127.92,17.72,11,1,9.98,79.25,0.78,142.24,43.61,321.56,4,,279.15,352.6,3.68,1255.33,22.66,4.53,2.06,3.82,30,3,498.54,4,3274.26,9.43,,2020-03-30,3-1
25.76,43.37,10.21,2655.05,263.59,154.12,21.11,11,1,12.2,92.03,0.95,168.33,52.79,333.97,4,,331.82,361.18,4.57,1499.34,27.41,5.44,2.49,4.6,30,3,594.63,4,3607.38,11.8,,2020-03-31,3-1
31.83,50.79,12.05,2994.08,307.92,184.71,25.1,11,1,14.83,106.91,1.14,199.39,63.54,343.92,4,,392.44,369.66,5.66,1784.55,32.92,6.5,2.99,5.5,30,3,707.91,4,3948.51,14.64,,2020-04-01,3-1
39.07,58.76,14.16,3343.03,338.04,220,29.83,11,1,17.92,124.93,1.38,236.67,76.15,353.98,4,,462.04,378.04,6.96,2117.54,39.3,7.72,3.56,6.54,30,3,841.86,4,4297.55,18.05,,2020-04-02,3-1
47.67,67.28,16.6,3701.68,345.52,260.34,35.45,11,1,21.51,145.5,1.64,281.22,91.02,362.83,4,,542.47,388.12,8.53,2495.86,46.69,9.13,4.23,7.73,30,3,1000.96,4,4654.47,22.11,,2020-04-03,3-1
0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,30,4,0,5,0,0,,2020-03-01,4-1
0,0,0,0.06,0.06,0,0,11,1,0,0.01,0,0.04,0,0.12,5,,0,0.24,0,0.04,0,0,0,0,30,4,0,5,0.1,0,,2020-03-02,4-1
0,0.01,0,0.25,0.14,0,0,11,1,0,0.16,0,2.27,0,0.28,5,,0,0.56,0,0.13,0,0,0,0,30,4,0.01,5,0.53,0,,2020-03-03,4-1
0,0.01,0,0.66,0.27,0,0,11,1,0,0.1,0,0.92,0,0.55,5,,0.02,1.02,0,0.33,0,0,0,0,30,4,0.05,5,1.41,0,,2020-03-04,4-1
0,0.03,0,1.4,0.48,0.03,0.01,11,1,0,0.09,0,0.36,0.01,0.93,5,,0.08,1.69,0,0.7,0,0,0,0,30,4,0.13,5,2.86,0,,2020-03-05,4-1
0,0.06,0.01,2.57,0.76,0.07,0.01,11,1,0,0.16,0,0.42,0.01,1.43,5,,0.17,2.47,0,1.31,0.01,0,0,0,30,4,0.27,5,4.84,0,,2020-03-06,4-1
0.01,0.09,0.01,4.3,1.12,0.13,0.02,11,1,0,0.23,0,0.34,0.02,2.04,5,,0.32,3.38,0,2.24,0.01,0.01,0,0,30,4,0.51,5,7.64,0,,2020-03-07,4-1
0.01,0.14,0.02,6.71,1.57,0.23,0.03,11,1,0.01,0.32,0,0.5,0.04,2.8,5,,0.54,4.49,0,3.58,0.02,0.01,0,0.01,30,4,0.86,5,11.46,0.01,,2020-03-08,4-1
0.03,0.21,0.03,9.97,2.12,0.37,0.05,11,1,0.02,0.45,0,0.72,0.07,3.75,5,,0.86,5.9,0,5.42,0.04,0.01,0.01,0.01,30,4,1.35,5,16.61,0.01,,2020-03-09,4-1
0.04,0.29,0.04,14.32,2.82,0.57,0.08,11,1,0.03,0.63,0,0.99,0.11,4.97,5,,1.29,7.74,0.01,7.88,0.06,0.02,0.01,0.02,30,4,2.02,5,23.4,0.02,,2020-03-10,4-1
0.07,0.31,0.06,20.05,3.69,0.84,0.11,11,1,0.04,0.84,0.01,1.34,0.17,6.55,5,,1.86,10.19,0.01,11.12,0.1,0.03,0.01,0.03,30,4,2.9,5,32.32,0.03,,2020-03-11,4-1
0.1,0.54,0.08,27.61,4.8,1.19,0.16,11,1,0.06,1.15,0.01,1.88,0.25,8.64,5,,2.61,13.52,0.02,15.35,0.14,0.04,0.02,0.04,30,4,4.07,5,44.11,0.04,,2020-03-12,4-1
0.16,0.73,0.11,37.6,6.23,1.66,0.22,11,1,0.09,1.57,0.01,2.81,0.35,11.44,5,,3.6,18.04,0.03,20.84,0.21,0.06,0.02,0.05,30,4,5.6,5,59.8,0.07,,2020-03-13,4-1
0.22,0.96,0.15,50.85,8.1,2.27,0.3,11,1,0.13,2.13,0.02,4.42,0.5,15.22,5,,4.89,24.39,0.05,27.98,0.29,0.08,0.03,0.07,30,4,7.63,5,80.81,0.1,,2020-03-14,4-1
0.32,1.27,0.21,68.53,10.55,3.07,0.4,11,1,0.18,2.9,0.02,7.33,0.68,20.33,5,,6.6,33.62,0.07,37.26,0.41,0.1,0.04,0.09,30,4,10.32,5,109.11,0.14,,2020-03-15,4-1
0.44,1.67,0.28,92.18,13.77,4.12,0.53,11,1,0.25,3.82,0.03,8.87,0.94,27.28,5,,8.9,46.51,0.09,49.36,0.56,0.14,0.06,0.13,30,4,13.93,5,147.36,0.19,,2020-03-16,4-1
0.61,2.21,0.38,123.98,18.05,5.5,0.72,11,1,0.34,4.85,0.04,7.77,1.27,36.73,5,,12.02,64.51,0.13,65.19,0.76,0.18,0.08,0.17,30,4,18.78,5,199.3,0.27,,2020-03-17,4-1
0.83,2.93,0.51,166.83,23.72,7.31,0.97,11,1,0.45,6.49,0.05,10.59,1.72,49.59,5,,16.15,89.68,0.17,85.94,1.03,0.24,0.11,0.22,30,4,25.32,5,275.69,0.36,,2020-03-18,4-1
1.13,3.88,0.68,224.44,30.82,9.72,1.3,11,1,0.61,8.79,0.06,14.82,2.34,65.71,5,,21.7,121.02,0.23,113.12,1.4,0.32,0.14,0.29,30,4,34.47,5,380.78,0.49,,2020-03-19,4-1
1.52,5.1,0.92,299.24,39.1,12.89,1.74,11,1,0.82,11.61,0.08,19.96,3.23,83.91,5,,29.13,156.74,0.3,148.01,1.89,0.42,0.19,0.39,30,4,47.47,5,519.35,0.67,,2020-03-20,4-1
2.04,6.58,1.22,392.88,48.4,16.99,2.35,11,1,1.1,14.97,0.1,25.86,4.45,103.56,5,,38.75,195.97,0.4,191.71,2.54,0.56,0.25,0.51,30,4,64.79,5,695.46,0.89,,2020-03-21,4-1
2.72,8.35,1.6,507.3,58.88,22.18,3.14,11,1,1.46,18.98,0.13,33.83,6.08,125.6,5,,50.85,241.21,0.52,245.34,3.4,0.74,0.32,0.67,30,4,86.67,5,913.61,1.19,,2020-03-22,4-1
3.62,10.43,2.07,644.93,70.8,28.62,4.12,11,1,1.92,23.54,0.17,43.06,8.2,149.58,5,,65.74,270.33,0.68,310.05,4.49,0.96,0.42,0.86,30,4,114.02,5,1173.68,1.58,,2020-03-23,4-1
4.77,12.86,2.62,807.45,84.45,36.48,5.33,11,1,2.5,28.62,0.21,51.84,10.91,175.97,5,,83.75,279,0.88,387.52,5.87,1.24,0.55,1.1,30,4,147.82,5,1448.35,2.09,,2020-03-24,4-1
6.25,15.7,3.29,997.46,100.2,45.97,6.74,11,1,3.23,34.47,0.27,62.02,14.28,203.63,5,,105.16,295.72,1.13,479.67,7.57,1.58,0.7,1.38,30,4,187.41,5,1731.65,2.74,,2020-03-25,4-1
8.1,18.88,4.06,1214.14,118.42,57.32,8.35,11,1,4.13,41.27,0.34,74.48,18.38,229.14,5,,130.35,304.45,1.45,588.77,9.65,1.99,0.89,1.72,30,4,232.8,5,2023.47,3.57,,2020-03-26,4-1
10.4,22.43,4.97,1455.69,139.54,70.81,10.23,11,1,5.22,48.99,0.42,86.02,23.26,254.06,5,,159.81,319.22,1.85,717.49,12.14,2.48,1.11,2.12,30,4,285.91,5,2323.73,4.6,,2020-03-27,4-1
13.23,26.56,6.01,1722.65,164.02,86.79,12.36,11,1,6.53,57.9,0.52,102.02,29.02,280.02,5,,193.97,328.57,2.34,868.96,15.09,3.06,1.38,2.6,30,4,346.36,5,2632.35,5.89,,2020-03-28,4-1
16.67,31.34,7.22,2014.54,192.43,105.67,14.83,11,1,8.1,67.98,0.64,120.59,35.75,302.47,5,,233.48,343.92,2.94,1046.84,18.58,3.74,1.69,3.16,30,4,416.55,5,2949.22,7.49,,2020-03-29,4-1
20.82,36.9,8.61,2327.09,225.37,127.92,17.72,11,1,9.98,79.25,0.78,142.24,43.61,321.56,5,,279.15,352.6,3.68,1255.33,22.66,4.53,2.06,3.82,30,4,498.54,5,3274.26,9.43,,2020-03-30,4-1
25.76,43.37,10.21,2655.05,263.59,154.12,21.11,11,1,12.2,92.03,0.95,168.33,52.79,333.97,5,,331.82,361.18,4.57,1499.34,27.41,5.44,2.49,4.6,30,4,594.63,5,3607.38,11.8,,2020-03-31,4-1
31.83,50.79,12.05,2994.08,307.92,184.71,25.1,11,1,14.83,106.91,1.14,199.39,63.54,343.92,5,,392.44,369.66,5.66,1784.55,32.92,6.5,2.99,5.5,30,4,707.91,5,3948.51,14.64,,2020-04-01,4-1
39.07,58.76,14.16,3343.03,338.04,220,29.83,11,1,17.92,124.93,1.38,236.67,76.15,353.98,5,,462.04,378.04,6.96,2117.54,39.3,7.72,3.56,6.54,30,4,841.86,5,4297.55,18.05,,2020-04-02,4-1
47.67,67.28,16.6,3701.68,345.52,260.34,35.45,11,1,21.51,145.5,1.64,281.22,91.02,362.83,5,,542.47,388.12,8.53,2495.86,46.69,9.13,4.23,7.73,30,4,1000.96,5,4654.47,22.11,,2020-04-03,4-1
57.82,76.79,19.42,4068.41,352.92,306.44,42.11,11,1,25.68,168.84,1.95,333.77,108.56,370.57,5,,635.49,396.34,10.4,2888.1,55.23,10.77,5,9.09,30,4,1189.63,5,5019.08,26.93,,2020-04-04,4-1
69.78,86.95,22.65,4442.81,360.25,358.96,49.94,11,1,30.49,193.82,2.31,390.37,129.27,378.23,5,,741.82,404.46,12.61,3288.5,65.08,12.65,5.88,10.63,30,4,1411.14,5,5391.36,32.61,,2020-04-05,4-1
83.78,96.91,26.22,4825.48,367.51,417.79,58.78,11,1,36,214.89,2.71,443.79,153.55,387.58,5,,860.19,419.17,15.22,3696.98,76.36,14.75,6.89,12.24,30,4,1662.42,5,5784.16,39.28,,2020-04-06,4-1
99.99,106.03,29.95,5217.92,374.69,481.84,68.3,11,1,42.25,233.27,3.16,488.57,181.47,397.21,5,,985.22,469.27,18.28,4113.43,89.09,17,8,13.95,30,4,1934.75,5,6229.22,47.05,,2020-04-07,4-1
118.5,114.09,33.67,5619.64,381.8,549.25,78.02,11,1,49.22,245.79,3.66,522.86,212.74,406.13,5,,1111.44,506.84,21.82,4537.77,103.08,19.29,9.19,15.73,30,4,2215.7,5,6718.28,56,,2020-04-08,4-1
139.28,122.96,37.2,6029.91,388.85,616.19,87.49,11,1,56.85,252.06,4.2,544.22,246.67,414.3,5,,1233.36,530.97,25.9,4969.89,118.04,21.51,10.43,17.49,30,4,2492.72,5,7237.99,66.19,,2020-04-09,4-1
162.2,121.16,40.38,6447.98,395.82,681.05,96.31,11,1,65,253.16,4.78,551.82,282.33,421.77,5,,1346.04,542.42,30.55,5409.72,133.57,23.56,11.67,19.26,30,4,2754.77,5,7775.41,77.63,,2020-04-10,4-1
187.04,124.66,43.1,6873.21,402.72,741.51,104.11,11,1,73.53,250.02,5.38,550.16,318.63,428.61,5,,1445.77,542.94,35.79,5857.14,149.23,25.35,12.89,20.87,30,4,2991.5,5,8318.7,90.31,,2020-04-11,4-1
213.5,125.51,45.32,7305.02,409.55,791.6,110.68,11,1,82.25,243.58,5.99,541.97,354.45,434.95,5,,1530.27,534.64,41.65,6312.1,164.59,26.84,14.04,22.35,30,4,3196.03,5,8857.97,104.17,,2020-04-12,4-1
241.26,124.59,47,7742.95,416.31,815.2,115.95,11,1,90.97,234.48,6.61,525.33,388.73,440.87,5,,1598.46,519.66,48.11,6774.48,179.23,28.72,15.09,23.66,30,4,3365.66,5,9385.47,119.12,,2020-04-13,4-1
269.96,122.59,48.15,8186.34,423.01,829.56,119.89,11,1,99.5,223.66,7.22,502.54,420.54,445.47,5,,1650.09,499.92,55.19,7202.31,192.83,30.91,16.04,24.78,30,4,3498.65,5,9895.51,135.05,,2020-04-14,4-1
299.25,119.75,48.81,8632.96,395.12,835.38,122.47,11,1,107.66,212.16,7.82,480.17,449.17,447.6,5,,1685.55,478.45,62.85,7635.37,205.12,32.85,16.85,25.71,30,4,3593.63,5,10384.14,151.83,,2020-04-15,4-1
328.81,116.27,49.01,9080.65,344.27,833.56,123.84,11,1,115.32,200.08,8.38,455.78,474.08,445.52,5,,1705.92,474.61,71.09,8034.07,215.91,34.53,17.52,26.44,30,4,3653.59,5,10849.91,169.34,,2020-04-16,4-1
358.34,112.33,48.8,9518.66,299.74,825.1,124.12,11,1,122.33,187.53,8.91,429.57,494.92,429.66,5,,1712.36,481.52,79.86,8356.28,225.07,35.91,18.06,26.98,30,4,3681.81,5,11309.54,187.43,,2020-04-17,4-1
387.57,107.47,48.23,9941.27,238.79,811,123.44,11,1,124.84,174.91,9.4,404.45,511.57,415.06,5,,1706.07,488.35,89.13,8636.67,232.53,36.99,18.45,27.33,30,4,3681.09,5,11774.49,205.96,,2020-04-18,4-1
417.89,100.99,47.35,10346.64,183.83,792.08,121.95,11,1,124.98,162.4,9.84,380.4,524.04,394.65,5,,1688.44,495.11,98.85,8880.19,238.28,37.77,18.71,27.47,30,4,3655.28,5,12245.87,224.79,,2020-04-19,4-1
456.38,86.28,46.2,10731.2,146.8,768.56,119.78,11,1,124.18,150.31,10.23,357.42,532.45,373.91,5,,1660.83,501.79,108.97,9092,242.35,38.26,18.84,27.35,30,4,3608.11,5,12723.77,243.8,,2020-04-20,4-1
495.2,71.58,44.83,11092.76,120.42,741.04,117.08,11,1,122.5,138.68,10.55,335.57,537.03,348.57,5,,1624.78,497.39,119.43,9276.41,244.79,38.49,18.85,26.59,30,4,3543.32,5,13208.14,262.85,,2020-04-21,4-1
534.08,59.33,43.29,11427.13,99.1,710.09,113.95,11,1,120.02,127.66,10.82,314.87,538.09,320.51,5,,1581.75,503.83,130.18,9437.01,245.68,38.46,18.74,25.66,30,4,3464.02,5,13698.89,281.83,,2020-04-22,4-1
